Scheme Name	Net Asset Value
	
	
	
	
	
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	114.4257
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	113.9595
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	111.4116
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	161.7009
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	110.5397
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	108.1991
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	110.3999
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	110.951
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	320.075
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	480.4739
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	330.2416
	
	
	
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2369.6544
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1033.8773
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.2027
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2309.3159
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1033.8032
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1038.2003
	
	
	
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.3491
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4768
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4619
BANDHAN Banking & PSU Debt Fund - Direct Growth	22.1083
BANDHAN Banking & PSU Debt Fund - Direct IDCW	11.6300
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.4294
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	10.7113
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.3591
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8788
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW	10.6171
BANDHAN Banking & PSU Debt Fund - Regular Growth	21.5951
BANDHAN Banking & PSU Debt Fund - Regular IDCW	11.6613
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW	10.6730
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW	10.6224
	
	
	
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.1997
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	11.2186
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.2601
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	11.0525
